year,state,source,winner,loser,winner_party,winner_vote_pct,loser_vote_pct,winner_mention_share,loser_mention_share,winner_ngrams_freq,loser_ngrams_freq,attention_leader_won,status
1962,ND,Google Ngrams,William L. Guy,Mark Andrews,D,0.5044,0.4956,0.8390634666080152,0.16093653339198477,6.470351898713034e-08,1.241045577415889e-08,1.0,ok
1962,OH,Google Ngrams,Jim Rhodes,Michael DiSalle,R,0.5892000000000001,0.4108,0.12456550801990822,0.8754344919800918,2.182980574083615e-09,1.534177895834432e-08,0.0,ok
1962,OK,Google Ngrams,Henry Bellmon,"W. P. ""Bill"" Atkinson",R,0.5527000000000001,0.4443,0.8292394409125505,0.17076055908744947,1.7177338218488103e-08,3.5372315076998007e-09,1.0,ok
1962,OR,Google Ngrams,Mark Hatfield,Robert Y. Thornton,R,0.542,0.4163,0.5602210844382924,0.43977891556170756,5.741124553537702e-08,4.506837747442205e-08,1.0,ok
1962,PA,Google Ngrams,Bill Scranton,Richardson Dilworth,R,0.5539999999999999,0.4429999999999999,0.04153357949937563,0.9584664205006244,4.927656727105045e-09,1.1371506047908042e-07,0.0,ok
1962,RI,Google Ngrams,John Chafee,John A. Notte Jr.,R,0.5006,0.4993999999999999,0.018120718558573314,0.9818792814414267,8.356365321926518e-10,4.52793411653829e-08,0.0,ok
1962,SD,Google Ngrams,Archie M. Gubbrud,Ralph Herseth,R,0.561,0.439,0.27113359673958565,0.7288664032604144,5.9456612966357625e-09,1.5983237844352516e-08,0.0,ok
1962,TX,Google Ngrams,John Connally,Jack Cox,D,0.54,0.456,0.7037473758302419,0.29625262416975806,5.3075174477612563e-08,2.2342761418769896e-08,1.0,ok
1962,VT,Google Ngrams,Philip H. Hoff,F. Ray Keyser Jr.,D,0.505,0.495,0.2671905421219388,0.7328094578780612,1.2810905225535407e-08,3.513579649450094e-08,0.0,ok
1962,WI,Google Ngrams,John W. Reynolds,Philip Kuehn,D,0.5036,0.4941,0.9626671538378018,0.03733284616219823,5.5254039565966195e-08,2.1427868923673543e-09,1.0,ok
1962,WY,Google Ngrams,Clifford Hansen,Jack R. Gage,R,0.5447,0.4553,0.047057941474221404,0.9529420585257786,1.9210978363659592e-09,3.890299637987482e-08,0.0,ok
1963,KY,Google Ngrams,Ned Breathitt,Louie Nunn,D,0.5074000000000001,0.4926,0.7251537511545014,0.2748462488454986,1.3395832221263504e-09,5.077260140096129e-10,1.0,ok
1963,MS,Google Ngrams,Paul B. Johnson Jr.,Rubel Phillips,D,0.6194,0.3806,0.8972361823507139,0.1027638176492861,4.001253017804629e-08,4.582784818296659e-09,1.0,ok
1964,AZ,Google Ngrams,Samuel Goddard,Richard Kleindienst,D,0.532,0.4679999999999999,0.2628526247357498,0.7371473752642502,1.7542618468979754e-09,4.91967511173641e-09,0.0,ok
1964,AR,Google Ngrams,Orval Faubus,Winthrop Rockefeller,D,0.57,0.4299,0.511835246565405,0.488164753434595,4.345518789250491e-08,4.14455456620999e-08,1.0,ok
1964,DE,Google Ngrams,Charles L. Terry Jr.,David P. Buckson,D,0.5135000000000001,0.4865,0.41391595427063854,0.5860840457293615,8.766273928983992e-09,1.2412600280953257e-08,0.0,ok
1964,FL,Google Ngrams,W. Haydon Burns,Charles R. Holley,D,0.5611999999999999,0.4125999999999999,0.08374196125738828,0.9162580387426117,1.482300532318348e-10,1.6218509313326024e-09,0.0,ok
1964,IL,Google Ngrams,Otto Kerner Jr.,Charles H. Percy,D,0.5193,0.4808,0.8512291341995081,0.14877086580049192,2.167634249872208e-07,3.788413849292738e-08,1.0,ok
1964,IN,Google Ngrams,Roger D. Branigin,Richard O. Ristine,D,0.5618,0.4347999999999999,0.3826573513701152,0.6173426486298847,1.8047346728167213e-08,2.9115857280714863e-08,0.0,ok
1964,IA,Google Ngrams,Harold Hughes,Evan Hultman,D,0.6805,0.3127,0.5601816006746542,0.43981839932534583,2.313963509692485e-08,1.8167746418384922e-08,1.0,ok
1964,KS,Google Ngrams,William H. Avery,Harry G. Wiles,R,0.509,0.471,0.8971734618634425,0.10282653813655751,4.6414045939968673e-08,5.319590767882687e-09,1.0,ok
1964,LA,Google Ngrams,John McKeithen,Charlton Lyons,D,0.6072,0.375,0.8936447779526969,0.10635522204730308,9.851605753397052e-09,1.1724677895230684e-09,1.0,ok
1964,MA,Google Ngrams,John Volpe,Francis Bellotti,R,0.5027,0.4929,0.973125591012899,0.02687440898710103,8.141209928425042e-09,2.2483244432880412e-10,1.0,ok
1964,MI,Google Ngrams,George W. Romney,Neil O. Staebler,R,0.5587,0.4374,0.9634487521936097,0.0365512478063903,4.1394921268533835e-08,1.570437474507358e-09,1.0,ok
1964,MO,Google Ngrams,Warren E. Hearnes,Ethan A.H. Shepley,D,0.621,0.379,0.9880425579005226,0.011957442099477356,1.9530983941251634e-08,2.363669537874813e-10,1.0,ok
1964,MT,Google Ngrams,Tim Babcock,Roland Renne,R,0.5129,0.4871,0.8293710322893577,0.1706289677106423,3.191929209833688e-08,6.566850840883376e-09,1.0,ok
1964,NE,Google Ngrams,Frank B. Morrison,Dwight W. Burney,D,0.6,0.4,0.9254103362564545,0.07458966374354548,5.7258878527477464e-08,4.615164028720642e-09,1.0,ok
1964,NH,Google Ngrams,John W. King,John Pillsbury,D,0.6677,0.3317,0.9075102618512364,0.0924897381487636,5.561499349937549e-08,5.668052915908106e-09,1.0,ok
1964,NM,Google Ngrams,Jack M. Campbell,Merle H. Tucker,D,0.6021,0.3979,0.951806296114041,0.048193703885959005,5.756067977813473e-08,2.9145240665329197e-09,1.0,ok
1964,NC,Google Ngrams,Dan K. Moore,Robert L. Gavin,D,0.5659000000000001,0.4341,0.8571728132574623,0.1428271867425377,1.910632629886777e-08,3.1836087099890165e-09,1.0,ok
1964,ND,Google Ngrams,William L. Guy,Donald Halcrow,D,0.5574,0.4426,1.0,0.0,5.3976449976289587e-08,0.0,1.0,loser_zero
1964,RI,Google Ngrams,John Chafee,Edward P. Gallogly,R,0.6114999999999999,0.3885,0.276269313830735,0.723730686169265,3.6012268722629415e-09,9.433977155026696e-09,0.0,ok
1964,SD,Google Ngrams,Nils Boe,John F. Lindley,R,0.5167,0.4833,0.5776332375450448,0.4223667624549552,6.166555266418072e-09,4.508999507102374e-09,1.0,ok
1964,TX,Google Ngrams,John Connally,Jack Crichton,D,0.738,0.26,0.9835619087211519,0.0164380912788481,1.6538526637077666e-07,2.7640538746709353e-09,1.0,ok
