year,state,winner,loser,winner_party,loser_party,winner_pct,loser_pct
1986,Maine,John McKernan,James Tierney,R,D,0.3989999999999999,0.302
1986,Maryland,William Donald Schaefer,Thomas J. Mooney,D,R,0.8237000000000001,0.1762999999999999
1986,Massachusetts,Michael Dukakis,George Kariotis,D,R,0.6879000000000001,0.3121
1986,Michigan,James Blanchard,William Lucas,D,R,0.6809999999999999,0.3145
1986,Minnesota,Rudy Perpich,Cal Ludeman,D,R,0.5611,0.4309
1986,Nebraska,Kay Orr,Helen Boosalis,R,D,0.529,0.47
1986,Nevada,Richard Bryan,Patty Cafferata,D,R,0.735,0.255
1986,New Hampshire,John H. Sununu,Paul McEachern,R,D,0.5372,0.4628
1986,New Mexico,Garrey Carruthers,Ray Powell,R,D,0.5305,0.4695
1986,New York,Mario Cuomo,Andrew O'Rourke,D,R,0.6463,0.3177
1986,Ohio,Dick Celeste,Jim Rhodes,D,R,0.606,0.3937
1986,Oklahoma,Henry Bellmon,David Walters,R,D,0.4745,0.4454
1986,Oregon,Neil Goldschmidt,Norma Paulus,D,R,0.5185,0.4785
1986,Pennsylvania,Bob Casey,Bill Scranton III,D,R,0.5069,0.4834
1986,Rhode Island,Edward D. DiPrete,Bruce Sundlun,R,D,0.647,0.324
1986,South Carolina,Carroll Campbell,Michael R. Daniel,R,D,0.51,0.479
1986,South Dakota,George Mickelson,Lars Herseth,R,D,0.518,0.482
1986,Tennessee,Ned McWherter,Winfield Dunn,D,R,0.5426,0.4574
1986,Texas,Bill Clements,Mark White,R,D,0.527,0.4604
1986,Vermont,Madeleine Kunin,Peter Smith,D,R,0.47,0.382
1986,Wisconsin,Tommy G. Thompson,Anthony S. Earl,R,D,0.5273,0.4621
1986,Wyoming,Mike Sullivan,Pete Simpson,D,R,0.5396,0.4604
1987,Kentucky,Wallace Wilkinson,John Harper,D,R,0.645,0.3490999999999999
1987,Mississippi,Ray Mabus,Jack Reed,D,R,0.5344,0.4656
1988,Delaware,Mike Castle,Jacob Kreshtool,R,D,0.7073,0.2923
1988,Indiana,Evan Bayh,John Mutz,D,R,0.532,0.4679999999999999
1988,Missouri,John Ashcroft,Betty Hearnes,R,D,0.642,0.348
1988,Montana,Stan Stephens,Thomas Lee Judge,R,D,0.5193,0.4613
1988,New Hampshire,Judd Gregg,Paul McEachern,R,D,0.6045,0.3904999999999999
1988,North Carolina,James G. Martin,Robert B. Jordan,R,D,0.5506,0.4493999999999999
1988,North Dakota,George A. Sinner,Leon Mallberg,D,R,0.599,0.401
1988,Rhode Island,Edward D. DiPrete,Bruce Sundlun,R,D,0.508,0.492
1988,Utah,Norman H. Bangerter,Ted Wilson,R,D,0.4013,0.3840999999999999
1988,Vermont,Madeleine Kunin,Michael Bernhardt,D,R,0.5529999999999999,0.433
1988,Washington,Booth Gardner,Bob Williams,D,R,0.6221,0.3779
1988,West Virginia,Gaston Caperton,Arch A. Moore Jr.,D,R,0.589,0.411
1989,New Jersey,James Florio,Jim Courter,D,R,0.612,0.372
1989,Virginia,Douglas Wilder,Marshall Coleman,D,R,0.5013000000000001,0.4976
1990,Alabama,H. Guy Hunt,Paul Hubbert,R,D,0.521,0.479
1990,Arkansas,Bill Clinton,Sheffield Nelson,D,R,0.5749,0.4249
1990,California,Pete Wilson,Dianne Feinstein,R,D,0.4925,0.4578
1990,Colorado,Roy Romer,John Andrews,D,R,0.6189,0.3543
1990,Florida,Lawton Chiles,Bob Martinez,D,R,0.5650999999999999,0.4349
1990,Georgia,Zell Miller,Johnny Isakson,D,R,0.5289,0.4454
1990,Hawaii,John D. Waiheʻe III,Fred Hemmings,D,R,0.598,0.386
1990,Idaho,Cecil Andrus,Roger Fairchild,D,R,0.682,0.318
1990,Illinois,Jim Edgar,Neil Hartigan,R,D,0.5075,0.4817
1990,Iowa,Terry Branstad,Donald Avenson,R,D,0.606,0.389
1990,Kansas,Joan Finney,Mike Hayden,D,R,0.486,0.426
1990,Maine,John McKernan,Joseph Brennan,R,D,0.467,0.441
1990,Maryland,William Donald Schaefer,William S. Shepard,D,R,0.5976,0.4023
1990,Massachusetts,Bill Weld,John Silber,R,D,0.5019,0.4694
1990,Michigan,John Engler,James Blanchard,R,D,0.4976,0.4907
1990,Minnesota,Arne Carlson,Rudy Perpich,R,D,0.5011,0.4675999999999999
1990,Nebraska,Ben Nelson,Kay A. Orr,D,R,0.4991,0.4922999999999999
1990,Nevada,Bob Miller,Jim Gallaway,D,R,0.6481,0.2986
1990,New Hampshire,Judd Gregg,J. Joseph Grandmaison,R,D,0.6026,0.3455
1990,New Mexico,Bruce King,Frank Bond,D,R,0.5461,0.4515
1990,New York,Mario Cuomo,Pierre Rinfret,D,R,0.5317000000000001,0.2135
1990,Ohio,George Voinovich,Anthony J. Celebrezze Jr.,R,D,0.5573,0.4427
1990,Oklahoma,David Walters,Bill Price,D,R,0.5740999999999999,0.3265
1990,Oregon,Barbara Roberts,Dave Frohnmayer,D,R,0.4572,0.3996
1990,Pennsylvania,Bob Casey,Barbara Hafer,D,R,0.6762999999999999,0.3234
1990,Rhode Island,Bruce Sundlun,Edward D. DiPrete,D,R,0.742,0.258
1990,South Carolina,Carroll Campbell,Theo Mitchell,R,D,0.695,0.278
1990,South Dakota,George Mickelson,Bob Samuelson,R,D,0.589,0.411
1990,Tennessee,Ned McWherter,Dwight Henry,D,R,0.6083,0.3661
1990,Texas,Ann Richards,Clayton Williams,D,R,0.4947,0.4692
1990,Vermont,Richard Snelling,Peter Welch,R,D,0.5181,0.4603
1990,Wisconsin,Tommy Thompson,Thomas A. Loftus,R,D,0.5815,0.4177
1990,Wyoming,Mike Sullivan,Mary Mead,D,R,0.6535,0.3465
1991,Kentucky,Brereton Jones,Larry J. Hopkins,D,R,0.6473,0.3527
1991,Mississippi,Kirk Fordice,Ray Mabus,R,D,0.5083,0.4759
1992,Delaware,Tom Carper,B. Gary Scott,D,R,0.6474,0.3275
1992,Indiana,Evan Bayh,Linley E. Pearson,D,R,0.62,0.369
1992,Missouri,Mel Carnahan,William L. Webster,D,R,0.5870000000000001,0.413
1992,Montana,Marc Racicot,Dorothy Bradley,R,D,0.513,0.487
1992,New Hampshire,Steve Merrill,Deborah Arnie Arnesen,R,D,0.5602,0.3995
1992,North Carolina,Jim Hunt,Jim Gardner,D,R,0.5272,0.4322999999999999
1992,North Dakota,Ed Schafer,Nicholas Spaeth,R,D,0.58,0.406
1992,Rhode Island,Bruce Sundlun,Elizabeth A. Leonard,D,R,0.616,0.3429999999999999
1992,Vermont,Howard Dean,John McClaughry,D,R,0.7473000000000001,0.2304
1992,Washington,Mike Lowry,Ken Eikenberry,D,R,0.5216,0.4784
1992,West Virginia,Gaston Caperton,Cleve Benedict,D,R,0.56,0.366
1993,New Jersey,Christine Todd Whitman,James Florio,R,D,0.4932999999999999,0.4829
1993,Virginia,George Allen,Mary Sue Terry,R,D,0.5827,0.4089
1994,Alabama,Fob James,Jim Folsom Jr.,R,D,0.5033,0.4943
1994,Alaska,Tony Knowles,Jim Campbell,D,R,0.4108,0.4084
1994,Arizona,Fife Symington,Eddie Basha,R,D,0.5254,0.4432999999999999
1994,Arkansas,Jim Guy Tucker,Sheffield Nelson,D,R,0.5984,0.4015999999999999
1994,California,Pete Wilson,Kathleen Brown,R,D,0.5518,0.4061999999999999
1994,Colorado,Roy Romer,Bruce D. Benson,D,R,0.555,0.387
1994,Connecticut,John G. Rowland,Bill Curry,R,D,0.362,0.327
1994,Florida,Lawton Chiles,Jeb Bush,D,R,0.5075,0.4922999999999999
1994,Georgia,Zell Miller,Guy Millner,D,R,0.5105,0.4895
1994,Idaho,Phil Batt,Larry Echo Hawk,R,D,0.523,0.439
1994,Illinois,Jim Edgar,Dawn Clark Netsch,R,D,0.6386999999999999,0.3444
1994,Iowa,Terry Branstad,Bonnie Campbell,R,D,0.568,0.416
1994,Kansas,Bill Graves,Jim Slattery,R,D,0.611,0.389
1994,Maryland,Parris Glendening,Ellen Sauerbrey,D,R,0.5021,0.4978
1994,Massachusetts,Bill Weld,Mark Roosevelt,R,D,0.7087,0.2827
1994,Michigan,John Engler,Howard Wolpe,R,D,0.615,0.385
1994,Minnesota,Arne Carlson,John Marty,R,D,0.6334000000000001,0.3411999999999999
1994,Nebraska,Ben Nelson,Gene Spence,D,R,0.73,0.256
1994,Nevada,Bob Miller,Jim Gibbons,D,R,0.5268,0.4132
1994,New Hampshire,Steve Merrill,Wayne King,R,D,0.6994,0.2555
1994,New Mexico,Gary Johnson,Bruce King,R,D,0.4981,0.3992
1994,New York,George Pataki,Mario Cuomo,R,D,0.4879,0.4545
1994,Ohio,George Voinovich,Rob Burch,R,D,0.7177,0.2498
1994,Oklahoma,Frank Keating,Jack Mildren,R,D,0.4690999999999999,0.2964
1994,Oregon,John Kitzhaber,Denny Smith,D,R,0.5095000000000001,0.4241
1994,Pennsylvania,Tom Ridge,Mark Singel,R,D,0.4539999999999999,0.3988
1994,Rhode Island,Lincoln Almond,Myrth York,R,D,0.4736999999999999,0.4354
1994,South Carolina,David Beasley,Nick Theodore,R,D,0.504,0.479
1994,South Dakota,Bill Janklow,Jim Beddow,R,D,0.5539999999999999,0.405
1994,Tennessee,Don Sundquist,Phil Bredesen,R,D,0.5427000000000001,0.4467
1994,Texas,George W. Bush,Ann Richards,R,D,0.5347999999999999,0.4588
1994,Vermont,Howard Dean,David F. Kelley,D,R,0.6869,0.19
1994,Wisconsin,Tommy Thompson,Charles Chvala,R,D,0.6723,0.3087999999999999
1994,Wyoming,Jim Geringer,Kathy Karpan,R,D,0.5871999999999999,0.4017
1995,Kentucky,Paul Patton,Larry Forgy,D,R,0.5088,0.4871
1995,Mississippi,Kirk Fordice,Dick Molpus,R,D,0.5556,0.4443999999999999
1996,Delaware,Tom Carper,Janet Rzewnicki,D,R,0.695,0.305
1996,Indiana,Frank O'Bannon,Steve Goldsmith,D,R,0.515,0.4679999999999999
1996,Missouri,Mel Carnahan,Margaret B. Kelly,D,R,0.5717,0.4043
1996,Montana,Marc Racicot,Judy Jacobson,R,D,0.792,0.208
1996,New Hampshire,Jeanne Shaheen,Ovide Lamontagne,D,R,0.5720000000000001,0.395
1996,North Carolina,Jim Hunt,Robin Hayes,D,R,0.5598,0.4275
1996,North Dakota,Ed Schafer,Lee Kaldor,R,D,0.662,0.3379999999999999
1996,Utah,Mike Leavitt,Jim Bradley,R,D,0.7497,0.2330999999999999
1996,Vermont,Howard Dean,John L. Gropper,D,R,0.7051000000000001,0.2245
1996,Washington,Gary Locke,Ellen Craswell,D,R,0.5796,0.4204
1996,West Virginia,Cecil Underwood,Charlotte Pritt,R,D,0.5161,0.4584
1997,New Jersey,Christine Todd Whitman,Jim McGreevey,R,D,0.4686999999999999,0.4582
1997,Virginia,Jim Gilmore,Don Beyer,R,D,0.5581,0.4256
1998,Alabama,Don Siegelman,Fob James,D,R,0.5792,0.4208
1998,Alaska,Tony Knowles,Robin L. Taylor,D,R,0.5127,0.1826
1998,Arizona,Jane Dee Hull,Paul Johnson,R,D,0.6095,0.3553
1998,Arkansas,Mike Huckabee,Bill Bristow,R,D,0.5977,0.3865999999999999
1998,California,Gray Davis,Dan Lungren,D,R,0.5797,0.3838
1998,Colorado,Bill Owens,Gail Schoettler,R,D,0.4904,0.4842
1998,Connecticut,John G. Rowland,Barbara B. Kennelly,R,D,0.629,0.354
1998,Florida,Jeb Bush,Buddy MacKay,R,D,0.5527000000000001,0.4472
1998,Georgia,Roy Barnes,Guy Millner,D,R,0.5249,0.4407999999999999
1998,Hawaii,Ben Cayetano,Linda Lingle,D,R,0.5011,0.4882
1998,Idaho,Dirk Kempthorne,Robert Huntley,R,D,0.677,0.291
1998,Illinois,George Ryan,Glenn Poshard,R,D,0.5103,0.4746
1998,Iowa,Tom Vilsack,Jim Ross Lightfoot,D,R,0.523,0.4650999999999999
1998,Kansas,Bill Graves,Tom Sawyer,R,D,0.7340000000000001,0.2269999999999999
1998,Maryland,Parris Glendening,Ellen Sauerbrey,D,R,0.5514,0.4482
1998,Massachusetts,Paul Cellucci,Scott Harshbarger,R,D,0.5086999999999999,0.4744
1998,Michigan,John Engler,Geoffrey Fieger,R,D,0.622,0.3779999999999999
1998,Nebraska,Mike Johanns,Bill Hoppner,R,D,0.539,0.4598
1998,Nevada,Kenny Guinn,Jan Laverty Jones,R,D,0.5163,0.4204
1998,New Hampshire,Jeanne Shaheen,Jay Lucas,D,R,0.6609999999999999,0.309
1998,New Mexico,Gary Johnson,Martin Chávez,R,D,0.5453,0.4547
1998,New York,George Pataki,Peter Vallone Sr.,R,D,0.5432,0.3315999999999999
1998,Ohio,Bob Taft,Lee Fisher,R,D,0.5005,0.4468999999999999
1998,Oklahoma,Frank Keating,Laura Boyd,R,D,0.5786,0.4093
1998,Oregon,John Kitzhaber,Bill Sizemore,D,R,0.6442,0.3001
1998,Pennsylvania,Tom Ridge,Ivan Itkin,R,D,0.5742,0.3103
1998,Rhode Island,Lincoln Almond,Myrth York,R,D,0.5097,0.4213
1998,South Carolina,Jim Hodges,David Beasley,D,R,0.532,0.452
1998,South Dakota,Bill Janklow,Bernie Hunhoff,R,D,0.64,0.3289999999999999
1998,Tennessee,Don Sundquist,John Jay Hooker,R,D,0.6862999999999999,0.2948
1998,Texas,George W. Bush,Garry Mauro,R,D,0.6823999999999999,0.3118
1998,Vermont,Howard Dean,Ruth Dwyer,D,R,0.5567,0.4114
1998,Wisconsin,Tommy Thompson,Ed Garvey,R,D,0.5966,0.387
1998,Wyoming,Jim Geringer,John Vinich,R,D,0.556,0.4046
1999,Kentucky,Paul Patton,Peppy Martin,D,R,0.607,0.222
1999,Louisiana,Mike Foster,Bill Jefferson,R,D,0.6217,0.2953
2000,Delaware,Ruth Ann Minner,John M. Burris,D,R,0.5924,0.3975
2000,Indiana,Frank O'Bannon,David McIntosh,D,R,0.5656,0.4168
2000,Missouri,Bob Holden,Jim Talent,D,R,0.4911999999999999,0.4821
2000,Montana,Judy Martz,Mark O'Keefe,R,D,0.5097999999999999,0.4708
2000,New Hampshire,Jeanne Shaheen,Gordon Humphrey,D,R,0.4874,0.4376
2000,North Carolina,Mike Easley,Richard Vinroot,D,R,0.5202,0.4625999999999999
2000,North Dakota,John Hoeven,Heidi Heitkamp,R,D,0.5503,0.4497
2000,Utah,Mike Leavitt,Bill Orton,R,D,0.5577000000000001,0.4227
2000,Vermont,Howard Dean,Ruth Dwyer,D,R,0.5045000000000001,0.3795
2000,Washington,Gary Locke,John Carlson,D,R,0.5838,0.3968
2000,West Virginia,Bob Wise,Cecil Underwood,D,R,0.5012,0.4721
2001,New Jersey,Jim McGreevey,Bret Schundler,D,R,0.5643,0.4168
2001,Virginia,Mark Warner,Mark Earley,D,R,0.5216,0.4703
2002,Alabama,Bob Riley,Don Siegelman,R,D,0.4917,0.4895
2002,Alaska,Frank Murkowski,Fran Ulmer,R,D,0.5585,0.407
2002,Arizona,Janet Napolitano,Matt Salmon,D,R,0.4619,0.4522
2002,Arkansas,Mike Huckabee,Jimmie Lou Fisher,R,D,0.5302,0.4696
2002,California,Gray Davis,Bill Simon,D,R,0.4725999999999999,0.424
2002,Colorado,Bill Owens,Rollie Heath,R,D,0.6262,0.3364999999999999
2002,Connecticut,John G. Rowland,Bill Curry,R,D,0.561,0.439
2002,Florida,Jeb Bush,Bill McBride,R,D,0.5600999999999999,0.4316
2002,Georgia,Sonny Perdue,Roy Barnes,R,D,0.5142,0.4625
2002,Hawaii,Linda Lingle,Mazie Hirono,R,D,0.5156000000000001,0.4700999999999999
2002,Idaho,Dirk Kempthorne,Jerry Brady,R,D,0.563,0.417
2002,Illinois,Rod Blagojevich,Jim Ryan,D,R,0.5219,0.4507
2002,Iowa,Tom Vilsack,Doug Gross,D,R,0.5268999999999999,0.4451
2002,Kansas,Kathleen Sebelius,Tim Shallenburger,D,R,0.5287,0.4509
2002,Maine,John Baldacci,Peter Cianchette,D,R,0.4715,0.4147
2002,Maryland,Bob Ehrlich,Kathleen Kennedy Townsend,R,D,0.5155,0.4768
2002,Massachusetts,Mitt Romney,Shannon O'Brien,R,D,0.4918,0.444
2002,Michigan,Jennifer Granholm,Dick Posthumus,D,R,0.5142,0.474
2002,Minnesota,Tim Pawlenty,Roger Moe,R,D,0.444,0.365
2002,Nebraska,Mike Johanns,Stormy Dean,R,D,0.6868000000000001,0.2752
2002,Nevada,Kenny Guinn,Joe Neal,R,D,0.6823999999999999,0.2201
2002,New Hampshire,Craig Benson,Mark Fernald,R,D,0.5861999999999999,0.3821
2002,New Mexico,Bill Richardson,John Sanchez,D,R,0.5549000000000001,0.3904999999999999
2002,New York,George Pataki,H. Carl McCall,R,D,0.494,0.335
2002,Ohio,Bob Taft,Tim Hagan,R,D,0.5776,0.3831
2002,Oklahoma,Brad Henry,Steve Largent,D,R,0.4327,0.4261
2002,Oregon,Ted Kulongoski,Kevin Mannix,D,R,0.4903,0.4615999999999999
2002,Pennsylvania,Ed Rendell,Mike Fisher,D,R,0.5341,0.4437
2002,Rhode Island,Donald Carcieri,Myrth York,R,D,0.5476,0.4524
2002,South Carolina,Mark Sanford,Jim Hodges,R,D,0.5285,0.4705
2002,South Dakota,Mike Rounds,Jim Abbott,R,D,0.568,0.419
2002,Tennessee,Phil Bredesen,Van Hilleary,D,R,0.5065,0.4759
2002,Texas,Rick Perry,Tony Sanchez,R,D,0.5781000000000001,0.3996
2002,Vermont,Jim Douglas,Doug Racine,R,D,0.4493999999999999,0.4239
2002,Wisconsin,Jim Doyle,Scott McCallum,D,R,0.4509,0.4139
2002,Wyoming,Dave Freudenthal,Eli Bebout,D,R,0.4996,0.4792
2003,Kentucky,Ernie Fletcher,Ben Chandler,R,D,0.5504,0.4496
2003,Mississippi,Haley Barbour,Ronnie Musgrove,R,D,0.5259,0.4581
2004,Delaware,Ruth Ann Minner,Bill Lee,D,R,0.5086999999999999,0.4579
2004,Indiana,Mitch Daniels,Joe Kernan,R,D,0.5321,0.4549
2004,Missouri,Matt Blunt,Claire McCaskill,R,D,0.5083,0.4785
2004,Montana,Brian Schweitzer,Bob Brown,D,R,0.5044,0.4602
2004,New Hampshire,John Lynch,Craig Benson,D,R,0.5102,0.4886999999999999
2004,North Carolina,Mike Easley,Patrick Ballantine,D,R,0.5562,0.4288
2004,North Dakota,John Hoeven,Joe Satrom,R,D,0.7126,0.2739
2004,Utah,Jon Huntsman Jr.,Scott Matheson Jr.,R,D,0.5774,0.4135
2004,Vermont,Jim Douglas,Peter Clavelle,R,D,0.5870000000000001,0.3792999999999999
2004,Washington,Christine Gregoire,Dino Rossi,D,R,0.48873,0.48868
2004,West Virginia,Joe Manchin,Monty Warner,D,R,0.6351,0.34
2005,New Jersey,Jon Corzine,Doug Forrester,D,R,0.5347,0.4302
2005,Virginia,Tim Kaine,Jerry Kilgore,D,R,0.5172,0.4599
2006,Alabama,Bob Riley,Lucy Baxley,R,D,0.5745,0.4157
2006,Alaska,Sarah Palin,Tony Knowles,R,D,0.4833,0.4097
2006,Arizona,Janet Napolitano,Len Munsil,D,R,0.6258,0.3544
2006,Arkansas,Mike Beebe,Asa Hutchinson,D,R,0.5561,0.4067
2006,California,Arnold Schwarzenegger,Phil Angelides,R,D,0.5588000000000001,0.3890999999999999
2006,Colorado,Bill Ritter,Bob Beauprez,D,R,0.5699000000000001,0.4017
2006,Connecticut,Jodi Rell,John DeStefano Jr.,R,D,0.632,0.355
2006,Florida,Charlie Crist,Jim Davis,R,D,0.522,0.451
2006,Georgia,Sonny Perdue,Mark Taylor,R,D,0.5795,0.3822
2006,Hawaii,Linda Lingle,Randy Iwase,R,D,0.6253,0.3535
2006,Idaho,Butch Otter,Jerry Brady,R,D,0.5267000000000001,0.4411
2006,Illinois,Rod Blagojevich,Judy Baar Topinka,D,R,0.4979,0.3926
2006,Iowa,Chet Culver,Jim Nussle,D,R,0.5402,0.4438
2006,Kansas,Kathleen Sebelius,Jim Barnett,D,R,0.579,0.4044
2006,Maine,John Baldacci,Chandler Woodcock,D,R,0.3811,0.3021
2006,Maryland,Martin O'Malley,Bob Ehrlich,D,R,0.5268999999999999,0.4615999999999999
2006,Massachusetts,Deval Patrick,Kerry Healey,D,R,0.5503,0.3495
2006,Michigan,Jennifer Granholm,Dick DeVos,D,R,0.5636,0.423
2006,Minnesota,Tim Pawlenty,Mike Hatch,R,D,0.4669,0.4573
2006,Nebraska,Dave Heineman,David Hahn,R,D,0.7340000000000001,0.2446
2006,Nevada,Jim Gibbons,Dina Titus,R,D,0.4793,0.4392
2006,New Hampshire,John Lynch,Jim Coburn,D,R,0.7401000000000001,0.2583
2006,New Mexico,Bill Richardson,John Dendahl,D,R,0.6881999999999999,0.3118
2006,New York,Eliot Spitzer,John Faso,D,R,0.657,0.2712
2006,Ohio,Ted Strickland,Ken Blackwell,D,R,0.6053999999999999,0.3665
2006,Oklahoma,Brad Henry,Ernest Istook,D,R,0.665,0.335
2006,Oregon,Ted Kulongoski,Ron Saxton,D,R,0.5073,0.4275
2006,Pennsylvania,Ed Rendell,Lynn Swann,D,R,0.6036,0.3964
2006,Rhode Island,Donald Carcieri,Charles Fogarty,R,D,0.5101,0.4899
2006,South Carolina,Mark Sanford,Tommy Moore,R,D,0.5512,0.4478999999999999
2006,South Dakota,Mike Rounds,Jack Billion,R,D,0.6169,0.3613
2006,Tennessee,Phil Bredesen,Jim Bryson,D,R,0.6859999999999999,0.2974
2006,Texas,Rick Perry,Chris Bell,R,D,0.3903,0.2979
2006,Vermont,Jim Douglas,Scudder Parker,R,D,0.5636,0.4115999999999999
2006,Wisconsin,Jim Doyle,Mark Green,D,R,0.527,0.4531
2006,Wyoming,Dave Freudenthal,Ray Hunkins,D,R,0.6999,0.3001
2007,Kentucky,Steve Beshear,Ernie Fletcher,D,R,0.5871,0.4129
2007,Louisiana,Bobby Jindal,Walter Boasso,R,D,0.5390999999999999,0.1744
2007,Mississippi,Haley Barbour,John Arthur Eaves Jr.,R,D,0.579,0.421
2008,Delaware,Jack Markell,Bill Lee,D,R,0.6751999999999999,0.3204999999999999
2008,Indiana,Mitch Daniels,Jill Long Thompson,R,D,0.5784,0.4004
2008,Missouri,Jay Nixon,Kenny Hulshof,D,R,0.584,0.3949
2008,Montana,Brian Schweitzer,Roy Brown,D,R,0.6547,0.3252
2008,New Hampshire,John Lynch,Joseph Kenney,D,R,0.7015,0.2761
2008,North Carolina,Bev Perdue,Pat McCrory,D,R,0.5027,0.4688
2008,North Dakota,John Hoeven,Tim Mathern,R,D,0.7444,0.2353
2008,Utah,Jon Huntsman Jr.,Bob Springmeyer,R,D,0.7763,0.1972
2008,Washington,Christine Gregoire,Dino Rossi,D,R,0.5324,0.4675999999999999
2008,West Virginia,Joe Manchin,Russ Weeks,D,R,0.6981,0.2573
2009,New Jersey,Chris Christie,Jon Corzine,R,D,0.4846,0.4488
2009,Virginia,Bob McDonnell,Creigh Deeds,R,D,0.5861,0.4125
2010,Alabama,Robert J. Bentley,Ron Sparks,R,D,0.5758,0.4186999999999999
2010,Alaska,Sean Parnell,Ethan Berkowitz,R,D,0.5906,0.3767
2010,Arizona,Jan Brewer,Terry Goddard,R,D,0.5433,0.4243
2010,Arkansas,Mike Beebe,Jim Keet,D,R,0.6442,0.3363
2010,California,Jerry Brown,Meg Whitman,D,R,0.5377000000000001,0.4088
2010,Connecticut,Dannel Malloy,Thomas C. Foley,D,R,0.4951,0.4895
2010,Florida,Rick Scott,Alex Sink,R,D,0.4886999999999999,0.4772
2010,Georgia,Nathan Deal,Roy Barnes,R,D,0.5302,0.4296999999999999
2010,Hawaii,Neil Abercrombie,Duke Aiona,D,R,0.5821999999999999,0.4111999999999999
2010,Idaho,Butch Otter,Keith G. Allred,R,D,0.5911,0.3285
2010,Illinois,Pat Quinn,Bill Brady,D,R,0.4679,0.4594
2010,Iowa,Terry Branstad,Chet Culver,R,D,0.5281,0.4321
2010,Kansas,Sam Brownback,Tom Holland,R,D,0.6328,0.3221
2010,Maryland,Martin O'Malley,Bob Ehrlich,D,R,0.5624,0.4179
2010,Massachusetts,Deval Patrick,Charlie Baker,D,R,0.4842,0.42
2010,Michigan,Rick Snyder,Virg Bernero,R,D,0.5811,0.3989999999999999
2010,Minnesota,Mark Dayton,Tom Emmer,D,R,0.4363,0.4321
2010,Nebraska,Dave Heineman,Mike Meister,R,D,0.7390000000000001,0.261
2010,Nevada,Brian Sandoval,Rory Reid,R,D,0.5336,0.4160999999999999
2010,New Hampshire,John Lynch,John Stephen,D,R,0.5263,0.4503
2010,New Mexico,Susana Martinez,Diane Denish,R,D,0.5329,0.4654999999999999
2010,New York,Andrew Cuomo,Carl Paladino,D,R,0.6305,0.3353
2010,Ohio,John Kasich,Ted Strickland,R,D,0.4904,0.4704
2010,Oklahoma,Mary Fallin,Jari Askins,R,D,0.6045,0.3954999999999999
2010,Oregon,John Kitzhaber,Chris Dudley,D,R,0.4929,0.4775999999999999
2010,Pennsylvania,Tom Corbett,Dan Onorato,R,D,0.5449,0.4551
2010,South Carolina,Nikki Haley,Vincent Sheheen,R,D,0.5136999999999999,0.4690999999999999
2010,South Dakota,Dennis Daugaard,Scott Heidepriem,R,D,0.6151,0.3849
2010,Tennessee,Bill Haslam,Mike McWherter,R,D,0.6503,0.3308
2010,Texas,Rick Perry,Bill White,R,D,0.5497,0.423
2010,Utah,Gary Herbert,Peter Corroon,R,D,0.6406999999999999,0.319
2010,Vermont,Peter Shumlin,Brian Dubie,D,R,0.4947999999999999,0.4769
2010,Wisconsin,Scott Walker,Tom Barrett,R,D,0.5225,0.4648
2010,Wyoming,Matt Mead,Leslie Petersen,R,D,0.6568,0.2294
2011,Kentucky,Steve Beshear,David L. Williams,D,R,0.5572,0.3529
2011,Louisiana,Bobby Jindal,Tara Hollis,R,D,0.6579999999999999,0.1788
2011,Mississippi,Phil Bryant,Johnny DuPree,R,D,0.6098,0.3902
2011,West Virginia,Earl Ray Tomblin,Bill Maloney,D,R,0.4955,0.4705
2012,Delaware,Jack Markell,Jeff Cragg,D,R,0.6934,0.2859
2012,Indiana,Mike Pence,John R. Gregg,R,D,0.4949,0.4656
2012,Missouri,Jay Nixon,Dave Spence,D,R,0.5477000000000001,0.4253
2012,Montana,Steve Bullock,Rick Hill,D,R,0.489,0.4734
2012,New Hampshire,Maggie Hassan,Ovide Lamontagne,D,R,0.5461,0.4253
2012,North Carolina,Pat McCrory,Walter H. Dalton,R,D,0.5462,0.4322999999999999
2012,North Dakota,Jack Dalrymple,Ryan Taylor,R,D,0.631,0.3431
2012,Utah,Gary Herbert,Peter Cooke,R,D,0.6840999999999999,0.2758
2012,Vermont,Peter Shumlin,Randy Brock,D,R,0.578,0.3754999999999999
2012,Washington,Jay Inslee,Rob McKenna,D,R,0.5154,0.4846
2012,West Virginia,Earl Ray Tomblin,Bill Maloney,D,R,0.5049,0.4564999999999999
2013,New Jersey,Chris Christie,Barbara Buono,R,D,0.603,0.3818999999999999
2013,Virginia,Terry McAuliffe,Ken Cuccinelli,D,R,0.4775,0.4523
2014,Alabama,Robert J. Bentley,Parker Griffith,R,D,0.6356,0.3624
2014,Arizona,Doug Ducey,Fred DuVal,R,D,0.5344,0.4161999999999999
2014,Arkansas,Asa Hutchinson,Mike Ross,R,D,0.5544,0.4149
2014,California,Jerry Brown,Neel Kashkari,D,R,0.5997,0.4003
2014,Colorado,John Hickenlooper,Bob Beauprez,D,R,0.493,0.4595
2014,Connecticut,Dannel Malloy,Thomas C. Foley,D,R,0.5073,0.4816
2014,Florida,Rick Scott,Charlie Crist,R,D,0.4814,0.4707
2014,Georgia,Nathan Deal,Jason Carter,R,D,0.5274,0.4488
2014,Hawaii,David Ige,Duke Aiona,D,R,0.4945,0.3707999999999999
