year,state,winner,loser,winner_party,loser_party,winner_pct,loser_pct
1964,Montana,Tim Babcock,Roland Renne,R,D,0.5129,0.4871
1964,Nebraska,Frank B. Morrison,Dwight W. Burney,D,R,0.6,0.4
1964,New Hampshire,John W. King,John Pillsbury,D,R,0.6677,0.3317
1964,New Mexico,Jack M. Campbell,Merle H. Tucker,D,R,0.6021,0.3979
1964,North Carolina,Dan K. Moore,Robert L. Gavin,D,R,0.5659000000000001,0.4341
1964,North Dakota,William L. Guy,Donald Halcrow,D,R,0.5574,0.4426
1964,Rhode Island,John Chafee,Edward P. Gallogly,R,D,0.6114999999999999,0.3885
1964,South Dakota,Nils Boe,John F. Lindley,R,D,0.5167,0.4833
1964,Texas,John Connally,Jack Crichton,D,R,0.738,0.26
1964,Utah,Cal Rampton,Mitchell Melich,D,R,0.5699000000000001,0.4301
1964,Vermont,Philip H. Hoff,Ralph A. Foote,D,R,0.649,0.351
1964,Washington,Daniel J. Evans,Albert Rosellini,R,D,0.5577000000000001,0.4389
1964,West Virginia,Hulett C. Smith,Cecil H. Underwood,D,R,0.5490999999999999,0.4509
1964,Wisconsin,Warren P. Knowles,John W. Reynolds,R,D,0.5055,0.4943999999999999
1965,New Jersey,Richard J. Hughes,Wayne Dumont,D,R,0.574,0.411
1965,Virginia,Mills Godwin,Linwood Holton,D,R,0.479,0.377
1966,Alabama,Lurleen Wallace,James D. Martin,D,R,0.6338,0.31
1966,Alaska,Wally Hickel,William A. Egan,R,D,0.4999,0.4836999999999999
1966,Arizona,Jack Williams,Samuel Goddard,R,D,0.5379999999999999,0.462
1966,Arkansas,Winthrop Rockefeller,James D. Johnson,R,D,0.5436,0.4564
1966,California,Ronald Reagan,Pat Brown,R,D,0.5755,0.4227
1966,Colorado,John Arthur Love,Robert Lee Knous,R,D,0.5405,0.435
1966,Connecticut,John N. Dempsey,E. Clayton Gengras,D,R,0.5568,0.4428
1966,Florida,Claude R. Kirk Jr.,Robert K. High,R,D,0.5513,0.4486
1966,Georgia,Bo Callaway,Lester Maddox,R,D,0.4653,0.4622
1966,Hawaii,John A. Burns,Randolph Crossley,D,R,0.511,0.489
1966,Idaho,Don Samuelson,Cecil Andrus,R,D,0.4140999999999999,0.3711
1966,Iowa,Harold Hughes,William G. Murray,D,R,0.5534,0.4417
1966,Kansas,Robert Docking,William H. Avery,D,R,0.5479999999999999,0.439
1966,Maine,Kenneth Curtis,John Reed,D,R,0.5312,0.4688
1966,Maryland,Spiro Agnew,George P. Mahoney,R,D,0.495,0.4061
1966,Massachusetts,John Volpe,Edward McCormack Jr.,R,D,0.6258,0.3688
1966,Michigan,George W. Romney,Zolton Ferency,R,D,0.6053999999999999,0.3913
1966,Minnesota,Harold LeVander,Karl Rolvaag,R,D,0.5255,0.4694
1966,Nebraska,Norbert Tiemann,Philip Sorensen,R,D,0.615,0.384
1966,Nevada,Paul Laxalt,Grant Sawyer,R,D,0.5216,0.4784
1966,New Hampshire,John W. King,Hugh Gregg,D,R,0.5388000000000001,0.4590999999999999
1966,New Mexico,David Cargo,Gene Lusk,R,D,0.5173,0.4826
1966,New York,Nelson Rockefeller,Frank D. O'Connor,R,D,0.446,0.381
1966,Ohio,Jim Rhodes,Frazier Reams Jr.,R,D,0.6218,0.3782
